sex_age,freq2021,freq2016,freqmale2021,freqmale2016,freqfemale2021,freqfemale2016
1,0.038632558,0.045550068,0.019801681,0.023320592,0.018830876,0.022229476
2,0.042773339,0.046602854,0.0218326,0.023904949,0.020940739,0.022697905
3,0.045221231,0.04395188,0.023165209,0.022381535,0.022056022,0.021570346
4,0.045315111,0.042416213,0.0230378,0.021561235,0.022277311,0.020854978
5,0.051719681,0.047892212,0.025645105,0.02366241,0.026074576,0.024229802
6,0.065264928,0.059574657,0.031476337,0.02848776,0.033788591,0.031086896
7,0.069407538,0.070625618,0.033835835,0.034036961,0.035571702,0.036588657
8,0.070636208,0.080476132,0.034473184,0.039356503,0.036163025,0.04111963
9,0.076961529,0.084330695,0.037553242,0.041161729,0.039408287,0.043168966
10,0.080620413,0.078721174,0.038983084,0.037987032,0.041637329,0.040734142
11,0.075828873,0.075860019,0.036081032,0.035501626,0.039747841,0.040358394
12,0.072535755,0.066134231,0.033521886,0.030400433,0.039013869,0.035733798
13,0.062037648,0.053273959,0.028083853,0.02359989,0.033953795,0.02967407
14,0.048760326,0.048336135,0.021098019,0.020734023,0.027662307,0.027602113
15,0.043603629,0.045285536,0.018194443,0.018881043,0.025409186,0.026404493
16,0.039571968,0.037107039,0.015807207,0.014894528,0.023764761,0.022212511
17,0.03002333,0.036349259,0.0112842,0.013654181,0.01873913,0.022695077
18,0.025049211,0.02414906,0.008484867,0.008129486,0.016564344,0.016019574
19,0.012272684,0.010428589,0.003542143,0.002904824,0.00873054,0.007523765
20,0.003764042,0.00293467,0.000820536,0.000600695,0.002943506,0.002333976
