Nº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble,wave
1,0.043,0.327,0.344,4874.115,4874.115,2016
2,0.022,0.34,0.403,10981.932,5490.966,2016
3,0.006,0.136,0.124,12674.431,4224.81,2016
4,0.002,0.062,0.057,17278.493,4319.623,2016
5+,0.003,0.135,0.072,13969.386,2208.799,2016
no_caseros,0.924,0,0,0,0,2016
1,0.059,0.331,0.332,4263.965,4263.965,2021
2,0.029,0.322,0.298,7876.3,3938.15,2021
3,0.005,0.089,0.101,14385.591,4795.197,2021
4,0.004,0.096,0.117,20676.027,5169.007,2021
5+,0.003,0.161,0.153,45694.723,3536.695,2021
no_caseros,0.9,0,0,0,0,2021
