property_title,price_with_tax,property_type,beds_rooms
Habitación en Segovia,34 €,Habitación Universidad,
Habitación en Segovia,37 €,,
Apartamento en Segovia,117 €,,
Habitación en Segovia,71 €,,Suite Superior con Vistas / Baño Privado - Morada
Habitación en Segovia,34 €,,habitacion con cama
Habitación en Segovia,72 €,¡Bonita habitación en el centro de Segovia!,
Apartamento en Segovia,174 €,,
Loft en Segovia,62 €,,
Cabaña en La Atalaya,85 €,,
Loft en Segovia,76 €,,
Bungalow en Hontanares de Eresma,67 €,Casa de madera  con piscina a doce km de Segovia,
Apartamento en Segovia,134 €,Apartamento san Esteban,
Apartamento en Segovia,146 €,Apartamento con vistas panorámicas en Segovia,
Apto. residencial en Segovia,112 €,,
Apartamento en Segovia,121 €,,
Apartamento en Los Molinos,82 €,Apartamento en Los Molinos,
Apartamento en La Granja de San Ildefonso,71 €,,
Apartamento en Real Sitio de San Ildefonso,101 €,Apartamento con encanto en La Granja. Nuevo.,
Apartamento en La Granja de San Ildefonso,71 €,,
Apartamento en Real Sitio de San Ildefonso,101 €,Apartamento con encanto en La Granja. Nuevo.,
Cabaña en Ávila,164 €,Casa Otea,
Alojamiento en Segovia,37 €,,habitacion con cama
Casa de invitados en Moralzarzal,45 €,,
Vivienda en Matabuena,293 €,,
Chalet en Segovia,305 €,,
Suite con entrada independiente en Moralzarzal,46 €,,
Casa rural en Braojos,81 €,,
Vivienda en El Boalo,65 €,,
Vivienda en Cercedilla,58 €,,
Apartamento en Cabañas de Polendos,118 €,,
Casa rural en Martín Miguel,136 €,Casa de 3 habitaciones a 15 minutos de Segovia,
Apartamento en Palazuelos de Eresma,179 €,"Apartamento con piscina privada ,5 min de Segovia!",
Apartamento en Torrecaballeros,77 €,,
Apartamento en Segovia,247 €,Precioso apartamento de 3 dormitorios en Segovia Capital,Precioso apartamento de 3 dormitorios en Segovia Capital
Apartamento en Segovia,101 €,Apartamento luminoso en Segovia,
Apto. residencial en Tabanera del Monte,72 €,Precioso apartamento en complejo tranquilo,
Apto. residencial en Tabanera del Monte,72 €,Precioso apartamento en complejo tranquilo,
Apartamento en Segovia,122 €,Maravilloso apartamento en la Judería de Segovia,
Bungalow en San Agustín del Guadalix,150 €,,1 cama «queen»
Chalet en Manzanares el Real,103 €,,
Alojamiento en Segovia,37 €,,habitacion con cama
Vivienda en Zamarramala,108 €,,
Cabaña en Manzanares el Real,104 €,,
Apartamento en Torrecaballeros,77 €,,
Habitación en Segovia,31 €,,
Vivienda en Villovela de Pirón,78 €,,
Apartamento en Torrecaballaros,129 €,,
Vivienda en Otero de Herreros,68 €,Casa rural con encanto,
Apartamento en San Martín de Valdeiglesias,115 €,,
Loft en Segovia,77 €,,
Habitación en La Estación de El Espinar,50 €,,
Vivienda en Palazuelos de Eresma,60 €,,
Habitación en Segovia,59 €,,
Apartamento en Segovia,167 €,,
